step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,1391.0745754525851
1,3700.0,82534.10745754527,305376197.5929175,1391.0745754525851
2,3700.0,74419.804169336,275353275.4265432,1391.0745754525851
3,3700.0,67116.93120994765,248332645.4768063,1391.0745754525851
4,3700.0,60544.345546498145,224014078.52204314,1391.0745754525851
5,3700.0,54629.01844939359,202127368.2627563,1391.0745754525851
6,3700.0,49305.224061999485,182429329.02939808,1391.0745754525851
7,3700.0,44513.809113344796,164701093.71937576,1391.0745754525851
8,3700.0,40201.53565955558,148745681.94035563,1391.0745754525851
9,3700.0,36320.48955114528,134385811.33923754,1391.0745754525851
10,3700.0,32827.54805357601,121461927.79823123,1391.0745754525851
11,3700.0,29683.900705763663,109830432.61132555,1391.0745754525851
12,3700.0,26854.618092732555,99362086.94311045,1391.0745754525851
13,3700.0,24308.263741004557,89940575.84171686,1391.0745754525851
14,3700.0,22016.54482444936,81461215.85046263,1391.0745754525851
15,3700.0,19953.99779954968,73829791.85833383,1391.0745754525851
16,3700.0,18097.70547713997,66961510.26541789,1391.0745754525851
17,3700.0,16427.042386971232,60780056.83179356,1391.0745754525851
18,3700.0,14923.445605819368,55216748.74153166,1391.0745754525851
19,3700.0,13570.20850278269,50209771.46029595,1391.0745754525851
20,3700.0,12352.29511004968,45703491.90718381,1391.0745754525851
21,3700.0,11256.17305658997,41647840.30938289,1391.0745754525851
22,3700.0,10269.663208476231,37997753.87136205,1391.0745754525851
23,3700.0,9381.804345173867,34712676.077143304,1391.0745754525851
24,3700.0,8582.73136820174,31756106.062346436,1391.0745754525851
25,3700.0,7863.565688926824,29095193.04902925,1391.0745754525851
26,3700.0,7216.3165775794005,26700371.33704378,1391.0745754525851
27,3700.0,6633.792377366719,24545031.79625686,1391.0745754525851
28,3700.0,6109.520597175306,22605226.20954863,1391.0745754525851
29,3700.0,5637.675995003034,20859401.181511223,1391.0745754525851
30,3700.0,5213.0158530479885,19288158.656277556,1391.0745754525851
31,3700.0,4830.821725288448,17874040.38356726,1391.0745754525851
32,3700.0,4486.847010304861,16601333.938127987,1391.0745754525851
33,3700.0,4177.269766819633,15455898.137232643,1391.0745754525851
34,3700.0,3898.6502476829287,14425005.916426836,1391.0745754525851
35,3700.0,3647.892680459894,13497202.917701608,1391.0745754525851
36,3700.0,3422.210869959163,12662180.218848903,1391.0745754525851
37,3700.0,3219.0972405085054,11910659.78988147,1391.0745754525851
38,3700.0,3036.2949740029135,11234291.40381078,1391.0745754525851
39,3700.0,2871.7729341478807,10625559.856347159,1391.0745754525851
40,3700.0,2723.7030982783513,10077701.4636299,1391.0745754525851
41,3700.0,2590.4402459957746,9584628.910184367,1391.0745754525851
42,3700.0,2470.5036789414557,9140863.612083387,1391.0745754525851
43,3700.0,2362.560768592569,8741474.843792506,1391.0745754525851
44,3700.0,2265.4121492785703,8382024.95233071,1391.0745754525851
45,3700.0,2177.978391895972,8058520.050015097,1391.0745754525851
46,3700.0,2099.2880102516333,7767365.637931043,1391.0745754525851
47,3700.0,2028.4666667717286,7505326.667055395,1391.0745754525851
48,3700.0,1964.7274576398142,7269491.593267312,1391.0745754525851
49,3700.0,1907.3621694210913,7057240.026858037,1391.0745754525851
50,3700.0,1855.7334100242406,6866213.61708969,1391.0745754525851
51,3700.0,1809.267526567075,6694289.848298178,1391.0745754525851
52,3700.0,1767.448231455626,6539558.456385816,1391.0745754525851
53,3700.0,1729.810865855322,6400300.203664691,1391.0745754525851
54,3700.0,1695.9372368150482,6274967.776215678,1391.0745754525851
55,3700.0,1665.450970678802,6162168.591511567,1391.0745754525851
56,3700.0,1638.0133311561804,6060649.325277868,1391.0745754525851
57,3700.0,1613.3194555858208,5969281.985667537,1391.0745754525851
58,3700.0,1591.0949675724974,5887051.38001824,1391.0745754525851
59,3700.0,1571.0929283605062,5813043.834933873,1391.0745754525851
60,3700.0,1553.0910930697141,5746437.044357942,1391.0745754525851
61,3700.0,1536.8894413080013,5686490.932839605,1391.0745754525851
62,3700.0,1522.3079547224597,5632539.432473101,1391.0745754525851
63,3700.0,1509.1846167954723,5583983.082143247,1391.0745754525851
64,3700.0,1497.3736126611836,5540282.36684638,1391.0745754525851
65,3700.0,1486.7437089403238,5500951.723079198,1391.0745754525851
66,3700.0,1477.17679559155,5465554.143688735,1391.0745754525851
67,3700.0,1468.5665735776536,5433696.322237318,1391.0745754525851
68,3700.0,1460.8173737651468,5405024.282931044,1391.0745754525851
69,3700.0,1453.8430939338907,5379219.447555396,1391.0745754525851
70,3700.0,1447.5662420857602,5355995.095717313,1391.0745754525851
71,3700.0,1441.9170754224426,5335093.179063038,1391.0745754525851
72,3700.0,1436.8328254254568,5316281.45407419,1391.0745754525851
73,3700.0,1432.2570004281697,5299350.901584228,1391.0745754525851
74,3700.0,1428.1387579306113,5284113.404343261,1391.0745754525851
75,3700.0,1424.4323396828086,5270399.656826392,1391.0745754525851
76,3700.0,1421.0965632597863,5258057.284061209,1391.0745754525851
77,3700.0,1418.0943644790661,5246949.148572545,1391.0745754525851
78,3700.0,1415.392385576418,5236951.8266327465,1391.0745754525851
79,3700.0,1412.9606045640348,5227954.236886929,1391.0745754525851
80,3700.0,1410.77200165289,5219856.406115693,1391.0745754525851
81,3700.0,1408.8022590328594,5212568.35842158,1391.0745754525851
82,3700.0,1407.029490674832,5206009.1154968785,1391.0745754525851
83,3700.0,1405.4339991526074,5200105.796864647,1391.0745754525851
84,3700.0,1403.998056782605,5194792.810095639,1391.0745754525851
