step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,12985.602753282932
1,3700.0,83693.56027532829,309666173.01871467,12985.602753282932
2,3700.0,76622.76452312375,283504228.7355579,12985.602753282932
3,3700.0,70259.04834613967,259958478.88071677,12985.602753282932
4,3700.0,64531.70378685399,238767304.01135978,12985.602753282932
5,3700.0,59377.09368349689,219695246.6289385,12985.602753282932
6,3700.0,54737.94459047549,202530394.9847593,12985.602753282932
7,3700.0,50562.71040675623,187082028.50499806,12985.602753282932
8,3700.0,46804.999641408904,173178498.67321295,12985.602753282932
9,3700.0,43423.059952596304,160665321.82460633,12985.602753282932
10,3700.0,40379.31423266497,149403462.6608604,12985.602753282932
11,3700.0,37639.943084726765,139267789.41348904,12985.602753282932
12,3700.0,35174.50905158238,130145683.49085481,12985.602753282932
13,3700.0,32955.618421752435,121935788.16048402,12985.602753282932
14,3700.0,30958.616854905486,114546882.3631503,12985.602753282932
15,3700.0,29161.31544474323,107896867.14554995,12985.602753282932
16,3700.0,27543.744175597203,101911853.44970965,12985.602753282932
17,3700.0,26087.930033365777,96525341.12345338,12985.602753282932
18,3700.0,24777.69730535749,91677480.02982272,12985.602753282932
19,3700.0,23598.487850150035,87314405.04555513,12985.602753282932
20,3700.0,22537.199340463325,83387637.5597143,12985.602753282932
21,3700.0,21582.039681745286,79853546.82245755,12985.602753282932
22,3700.0,20722.39598889905,76672865.15892649,12985.602753282932
23,3700.0,19948.716665337437,73810251.66174851,12985.602753282932
24,3700.0,19252.405274131987,71233899.51428835,12985.602753282932
25,3700.0,18625.72502204708,68915182.5815742,12985.602753282932
26,3700.0,18061.712795170668,66828337.34213147,12985.602753282932
27,3700.0,17554.101790981895,64950176.62663301,12985.602753282932
28,3700.0,17097.251887211998,63259831.982684396,12985.602753282932
29,3700.0,16686.086973819092,61738521.80313064,12985.602753282932
30,3700.0,16316.038551765476,60369342.64153226,12985.602753282932
31,3700.0,15982.994971917222,59137081.39609372,12985.602753282932
32,3700.0,15683.255750053793,58028046.27519903,12985.602753282932
33,3700.0,15413.490450376707,57029914.66639382,12985.602753282932
34,3700.0,15170.70168066733,56131596.21846912,12985.602753282932
35,3700.0,14952.191787928889,55323109.61533689,12985.602753282932
36,3700.0,14755.532884464294,54595471.67251789,12985.602753282932
37,3700.0,14578.539871346158,53940597.52398079,12985.602753282932
38,3700.0,14419.246159539836,53351210.7902974,12985.602753282932
39,3700.0,14275.881818914146,52820762.72998234,12985.602753282932
