step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,2232.409885875648
1,3700.0,82618.24098858757,305687491.657774,2232.409885875648
2,3700.0,74579.65787831637,275944734.14977056,2232.409885875648
3,3700.0,67344.9330790723,249176252.39256752,2232.409885875648
4,3700.0,60833.680759752635,225084618.81108475,2232.409885875648
5,3700.0,54973.553672364935,203402148.58775026,2232.409885875648
6,3700.0,49699.43929371601,183887925.38674924,2232.409885875648
7,3700.0,44952.73635293197,166325124.5058483,2232.409885875648
8,3700.0,40680.70370622634,150518603.71303746,2232.409885875648
9,3700.0,36835.874324191274,136292734.99950773,2232.409885875648
10,3700.0,33375.52788035971,123489453.15733093,2232.409885875648
11,3700.0,30261.216080911305,111966499.49937183,2232.409885875648
12,3700.0,27458.33546140774,101595841.20720863,2232.409885875648
13,3700.0,24935.74290385453,92262248.74426176,2232.409885875648
14,3700.0,22665.409602056643,83862015.52760959,2232.409885875648
15,3700.0,20622.109630438543,76301805.63262261,2232.409885875648
16,3700.0,18783.139655982253,69497616.72713433,2232.409885875648
17,3700.0,17128.066678971594,63373846.7121949,2232.409885875648
18,3700.0,15638.500999662,57862453.6987494,2232.409885875648
19,3700.0,14297.891888283364,52902199.98664845,2232.409885875648
20,3700.0,13091.343688042592,48437971.64575759,2232.409885875648
21,3700.0,12005.450307825899,44420166.138955824,2232.409885875648
22,3700.0,11028.146265630874,40804141.18283423,2232.409885875648
23,3700.0,10148.57262765535,37549718.722324796,2232.409885875648
24,3700.0,9356.95635347738,34620738.50786631,2232.409885875648
25,3700.0,8644.501706717207,31984656.314853664,2232.409885875648
26,3700.0,8003.292524633051,29612182.341142286,2232.409885875648
27,3700.0,7426.20426075731,27476955.76480205,2232.409885875648
28,3700.0,6906.824823269144,25555251.846095834,2232.409885875648
29,3700.0,6439.3833295297945,23825718.31926024,2232.409885875648
30,3700.0,6018.68598516438,22269138.145108208,2232.409885875648
31,3700.0,5640.058375235507,20868215.988371376,2232.409885875648
32,3700.0,5299.293526299521,19607386.047308225,2232.409885875648
33,3700.0,4992.605162257133,18472639.100351393,2232.409885875648
34,3700.0,4716.585634618985,17451366.848090243,2232.409885875648
35,3700.0,4468.168059744651,16532221.82105521,2232.409885875648
36,3700.0,4244.59224235775,15704991.296723677,2232.409885875648
37,3700.0,4043.37400670954,14960483.824825298,2232.409885875648
38,3700.0,3862.277594626151,14290427.100116758,2232.409885875648
39,3700.0,3699.2908237511006,13687376.047879072,2232.409885875648
40,3700.0,3552.6027299635552,13144630.100865154,2232.409885875648
41,3700.0,3420.5834455547647,12656158.74855263,2232.409885875648
42,3700.0,3301.766089586853,12216534.531471357,2232.409885875648
43,3700.0,3194.8304692157326,11820872.736098211,2232.409885875648
44,3700.0,3098.588410881724,11464777.120262379,2232.409885875648
45,3700.0,3011.9705583811165,11144291.06601013,2232.409885875648
