step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,4894.07672497406
1,3700.0,82884.4076724974,306672308.3882404,4894.07672497406
2,3700.0,75085.37457774507,277815885.93765676,4894.07672497406
3,3700.0,68066.24479246797,251845105.7321315,4894.07672497406
4,3700.0,61749.02798571858,228471403.54715875,4894.07672497406
5,3700.0,56063.532859644125,207435071.58068326,4894.07672497406
6,3700.0,50946.58724617712,188502372.81085536,4894.07672497406
7,3700.0,46341.336194056814,171462943.9180102,4894.07672497406
8,3700.0,42196.610247148536,156127457.91444957,4894.07672497406
9,3700.0,38466.35689493109,142325520.511245,4894.07672497406
10,3700.0,35109.128877935385,129903776.84836093,4894.07672497406
11,3700.0,32087.623662639253,118724207.55176523,4894.07672497406
12,3700.0,29368.268968872733,108662595.18482912,4894.07672497406
13,3700.0,26920.849744482864,99607144.0545866,4894.07672497406
14,3700.0,24718.172442531984,91457238.03736834,4894.07672497406
15,3700.0,22735.76287077619,84122322.6218719,4894.07672497406
16,3700.0,20951.59425619598,77520898.74792512,4894.07672497406
17,3700.0,19345.842503073785,71579617.261373,4894.07672497406
18,3700.0,17900.665925263813,66232463.92347611,4894.07672497406
19,3700.0,16600.00700523484,61420025.9193689,4894.07672497406
20,3700.0,15429.41397720876,57088831.71567241,4894.07672497406
21,3700.0,14375.88025198529,53190756.93234558,4894.07672497406
22,3700.0,13427.699899284167,49682489.62735142,4894.07672497406
23,3700.0,12574.337581853157,46525049.05285668,4894.07672497406
24,3700.0,11806.311496165246,43683352.53581141,4894.07672497406
25,3700.0,11115.088019046128,41125825.67047068,4894.07672497406
26,3700.0,10492.986889638922,38824051.49166401,4894.07672497406
27,3700.0,9933.095873172435,36752454.73073801,4894.07672497406
28,3700.0,9429.193958352598,34888017.645904616,4894.07672497406
29,3700.0,8975.682235014745,33210024.269554555,4894.07672497406
30,3700.0,8567.521684010677,31699830.230839506,4894.07672497406
31,3700.0,8200.177188107014,30340655.595995955,4894.07672497406
32,3700.0,7869.567141793719,29117398.424636763,4894.07672497406
33,3700.0,7572.0181001117535,28016466.970413487,4894.07672497406
34,3700.0,7304.223962597984,27025628.66161254,4894.07672497406
35,3700.0,7063.209238835591,26133874.183691688,4894.07672497406
36,3700.0,6846.295987449438,25331295.153562922,4894.07672497406
37,3700.0,6651.0740612019,24608974.026447028,4894.07672497406
38,3700.0,6475.374327579116,23958885.012042727,4894.07672497406
39,3700.0,6317.24456731861,23373804.899078857,4894.07672497406
40,3700.0,6174.927783084156,22847232.797411375,4894.07672497406
41,3700.0,6046.842677273146,22373317.90591064,4894.07672497406
42,3700.0,5931.566082043238,21946794.50355998,4894.07672497406
43,3700.0,5827.81714633632,21562923.441444382,4894.07672497406
44,3700.0,5734.443104200093,21217439.485540345,4894.07672497406
45,3700.0,5650.40646627749,20906503.925226714,4894.07672497406
46,3700.0,5574.773492147147,20626661.920944445,4894.07672497406
47,3700.0,5506.703815429839,20374804.117090404,4894.07672497406
48,3700.0,5445.441106384261,20148132.093621764,4894.07672497406
49,3700.0,5390.3046682432405,19944127.27249999,4894.07672497406
50,3700.0,5340.681873916323,19760522.933490396,4894.07672497406
51,3700.0,5296.0213590220965,19595279.028381757,4894.07672497406
52,3700.0,5255.826895617292,19446559.51378398,4894.07672497406
53,3700.0,5219.651878552969,19312711.950645983,4894.07672497406
54,3700.0,5187.094363195078,19192249.143821787,4894.07672497406
55,3700.0,5157.792599372976,19083832.61768001,4894.07672497406
56,3700.0,5131.421011933085,18986257.74415241,4894.07672497406
57,3700.0,5107.686583237182,18898440.357977573,4894.07672497406
58,3700.0,5086.32559741087,18819404.710420217,4894.07672497406
59,3700.0,5067.1007101671885,18748272.627618596,4894.07672497406
60,3700.0,5049.798311647875,18684253.75309714,4894.07672497406
61,3700.0,5034.226152980494,18626636.766027827,4894.07672497406
62,3700.0,5020.21121017985,18574781.477665447,4894.07672497406
63,3700.0,5007.597761659271,18528111.718139302,4894.07672497406
64,3700.0,4996.24565799075,18486108.934565775,4894.07672497406
65,3700.0,4986.028764689081,18448306.4293496,4894.07672497406
66,3700.0,4976.833560717579,18414284.174655043,4894.07672497406
67,3700.0,4968.5578771432265,18383664.14542994,4894.07672497406
68,3700.0,4961.10976192631,18356106.119127348,4894.07672497406
69,3700.0,4954.406458231085,18331303.895455014,4894.07672497406
70,3700.0,4948.373484905383,18308981.894149914,4894.07672497406
71,3700.0,4942.9438089122505,18288892.092975326,4894.07672497406
72,3700.0,4938.057100518431,18270811.271918196,4894.07672497406
73,3700.0,4933.659062963994,18254538.532966778,4894.07672497406
74,3700.0,4929.700829165001,18239893.067910504,4894.07672497406
75,3700.0,4926.138418745907,18226712.149359856,4894.07672497406
76,3700.0,4922.932249368722,18214849.322664272,4894.07672497406
77,3700.0,4920.046696929256,18204172.778638247,4894.07672497406
78,3700.0,4917.449699733736,18194563.889014825,4894.07672497406
79,3700.0,4915.112402257769,18185915.888353743,4894.07672497406
80,3700.0,4913.008834529398,18178132.687758774,4894.07672497406
81,3700.0,4911.1156235738645,18171127.807223298,4894.07672497406
82,3700.0,4909.411733713884,18164823.41474137,4894.07672497406
83,3700.0,4907.878232839902,18159149.461507637,4894.07672497406
84,3700.0,4906.498082053318,18154042.903597277,4894.07672497406
85,3700.0,4905.255946345393,18149447.001477953,4894.07672497406
86,3700.0,4904.13802420826,18145310.68957056,4894.07672497406
87,3700.0,4903.131894284839,18141588.008853905,4894.07672497406
88,3700.0,4902.226377353762,18138237.59620892,4894.07672497406
89,3700.0,4901.411412115792,18135222.22482843,4894.07672497406
90,3700.0,4900.677943401619,18132508.39058599,4894.07672497406
91,3700.0,4900.017821558863,18130065.939767793,4894.07672497406
92,3700.0,4899.423711900383,18127867.734031416,4894.07672497406
93,3700.0,4898.88901320775,18125889.348868676,4894.07672497406
94,3700.0,4898.407784384382,18124108.80222221,4894.07672497406
95,3700.0,4897.974678443349,18122506.31024039,4894.07672497406
96,3700.0,4897.5848830964205,18121064.067456756,4894.07672497406
97,3700.0,4897.234067284185,18119766.048951484,4894.07672497406
98,3700.0,4896.918333053172,18118597.832296737,4894.07672497406
99,3700.0,4896.634172245261,18117546.437307466,4894.07672497406
100,3700.0,4896.378427518141,18116600.18181712,4894.07672497406
